u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,tokyo_dura,tokyo_fare,tokyo_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
3023,25,R&Bホテル大塚駅北口,東京都豊島区北大塚２丁目１４-２,1999年10月,1999,東京都,13_東京都,260,賃貸,ワシントンホテルプラザチェーン　R＆Bホテルチェーン,東京都/豊島区/北大塚/二丁目/１４番,139.72934,35.73224,5,7,63,677,2,93,1389,2,25,194,0,2018,1060000,小売店舗、飲食店舗ビル等が建ち並ぶ商業地域,大塚,110,商業
997,77,スーパーホテルJR池袋西口,東京都豊島区池袋２丁目１４-１２,2009年8月,2009,東京都,13_東京都,113,賃貸,スーパーホテル,東京都/豊島区/池袋/二丁目/１４番,139.7066,35.73209,5,7,68,666,1,100,1400,2,27,195,0,2018,1890000,中高層の店舗、事務所が建ち並ぶ商業地域,池袋,370,商業
1330,13,東急ステイ池袋,東京都豊島区池袋２丁目１２-２,2010年4月,2010,東京都,13_東京都,156,直営,東急ステイ,東京都/豊島区/池袋/二丁目/１２番,139.70711,35.73243,5,7,68,666,1,100,1400,2,27,195,0,2018,1890000,中高層の店舗、事務所が建ち並ぶ商業地域,池袋,370,商業
605,10,グランパーク・イン巣鴨,東京都豊島区巣鴨1-18-4,2015年11月,2015,東京都,13_東京都,118,賃貸,グランパークホテル,東京都/豊島区/巣鴨/一丁目/１８番,139.73944,35.73237,5,7,61,655,1,93,1389,2,25,165,0,2018,1510000,中高層の店舗、事務所ビルが多い商業地域,巣鴨,120,商業
109,79,アパホテル池袋駅北口,東京都豊島区池袋２丁目４８-７,2010年4月,2010,東京都,13_東京都,171,所有直営,アパホテルズ＆リゾーツ,東京都/豊島区/池袋/二丁目/４８番,139.7114,35.7336,5,7,70,666,1,102,1400,2,27,195,0,2018,1250000,中高層の店舗兼事務所ビル等が建ち並ぶ商業地域,池袋,250,商業
1490,87,東横INN池袋北口1,東京都豊島区池袋２丁目５０-５,2005年1月,2005,東京都,13_東京都,226,NA,東横INN,東京都/豊島区/池袋/二丁目/５０番,139.71094,35.73419,5,7,70,666,1,102,1400,2,27,195,0,2018,1250000,中高層の店舗兼事務所ビル等が建ち並ぶ商業地域,池袋,250,商業
1567,164,東横INN池袋北口Ⅱ,東京都豊島区池袋２丁目５１-２,2007年10月,2007,東京都,13_東京都,373,NA,東横INN,東京都/豊島区/池袋/二丁目/５１番,139.71034,35.73412,5,7,71,666,1,103,1400,2,27,195,0,2018,1250000,中高層の店舗兼事務所ビル等が建ち並ぶ商業地域,池袋,250,商業
2298,56,フレックステイイン巣鴨,東京都豊島区巣鴨３丁目６-１６,1994年6月,1994,東京都,13_東京都,104,賃貸,ホテルマイステイズマネジメント,東京都/豊島区/巣鴨/三丁目/６番,139.73436,35.7336,5,7,64,655,1,96,1389,2,28,165,0,2018,591000,中規模一般住宅が多い閑静な住宅地域,大塚,550,1中専
880,19,ホテルメッツ田端,東京都北区東田端1-17-20,1998年2月,1998,東京都,13_東京都,98,賃貸,JR東日本ホテルズ,東京都/北区/東田端/一丁目/１７番,139.76213,35.73652,5,7,53,677,1,89,1368,2,19,165,0,2018,535000,一般住宅、アパート等が建ち並ぶ住宅地域,田端,380,1住居
176,146,アパホテル巣鴨駅前,東京都豊島区巣鴨２丁目９-７,2016年6月,2016,東京都,13_東京都,512,直営,アパホテルズ＆リゾーツ,東京都/豊島区/巣鴨/二丁目/９番,139.73824,35.73484,5,7,61,677,2,92,1389,2,24,165,0,2018,763000,店舗付事務所、低層店舗等が混在する商業地域,巣鴨,210,商業
