u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,L01_005,L01_006,L01_044,L01_045,L01_046,L01_047
3036,38,R&Bホテル蒲田東口,東京都大田区蒲田５丁目２３-１,2006年5月,2006,東京都,13_東京都,181,賃貸,ワシントンホテルプラザチェーン　R＆Bホテルチェーン,東京都/大田区/蒲田/五丁目/２３番,139.718950000000007,35.562600000000003,5,7,23m,335,0,1h47m,"1,564",1,2018,2050000,中高層の店舗ビル等が建ち並ぶ中心的商業地域,蒲田,170,商業
161,131,アパホテル蒲田駅西,東京都大田区西蒲田７丁目３４-２,2015年6月,2015,東京都,13_東京都,75,FC,アパホテルズ＆リゾーツ,東京都/大田区/西蒲田/七丁目/３４番,139.711299999999994,35.563380000000002,5,7,33m,335,0,1h56m,"1,534",2,2018,754000,小売店舗等が多い、駅前通り沿いの商業地域,蒲田,430,商業
115,85,アパホテル京急蒲田駅前,東京都大田区蒲田４丁目１８-２４,2011年9月,2011,東京都,13_東京都,95,FC,アパホテルズ＆リゾーツ,東京都/大田区/蒲田/四丁目/１８番,139.722530000000006,35.560519999999997,5,7,19m,335,0,1h43m,"1,564",1,2018,1230000,中高層の店舗兼事務所ビル等が多い駅前商業地域,京急蒲田,0,商業
2918,249,ホテルルートイン東京蒲田,東京都大田区蒲田３丁目１８-２,2017年6月,2017,東京都,13_東京都,147,所有直営,ルートインホテルズ,東京都/大田区/蒲田/三丁目/１８番,139.722080000000005,35.562510000000003,5,7,21m,335,0,1h45m,"1,564",1,2018,1230000,中高層の店舗兼事務所ビル等が多い駅前商業地域,京急蒲田,0,商業
1377,18,羽田エクセルホテル東急,東京都大田区羽田空港３丁目４-２,2004年12月,2004,東京都,13_東京都,386,賃貸,東急ホテルズ,東京都/大田区/羽田空港/三丁目/４番,139.784449999999993,35.554890000000000,5,7,12m,154,0,1h50m,"1,787",0,2018,240000,倉庫、配送センター、工場等が建ち並ぶ工業地域,流通センター,3300,工専
1385,26,大森東急REIホテル,東京都大田区大森北１丁目６-１６アトレ大森,1984年9月,1984,東京都,13_東京都,197,賃貸,東急ホテルズ,東京都/大田区/大森北/一丁目/６番,139.728450000000009,35.588769999999997,5,7,35m,365,1,1h44m,"1,483",2,2018,2010000,中高層の店舗、事務所が建ち並ぶ駅前の商業地域,大森,0,商業
724,1,京急EXイン大森海岸駅前,東京都品川区南大井３丁目３２-１,2007年11月,2007,東京都,13_東京都,105,MC,京急EXイン,東京都/品川区/南大井/三丁目/３２番,139.734769999999997,35.587490000000003,5,7,28m,365,1,1h47m,"1,523",1,2018,1180000,中高層事務所ビル、ホテル等が建ち並ぶ商業地域,大森海岸,130,商業
812,31,ホテルサンルートパティオ大森,東京都品川区南大井３-３３-３,1998年1月,1998,東京都,13_東京都,86,FC,サンルートホテルチェーン,東京都/品川区/南大井/三丁目/３３番,139.734119999999990,35.587589999999999,5,7,28m,365,1,1h47m,"1,523",1,2018,1180000,中高層事務所ビル、ホテル等が建ち並ぶ商業地域,大森海岸,130,商業
2642,54,ホテルリブマックス大森駅前,東京都品川区南大井３丁目３３-２,2016年5月,2016,東京都,13_東京都,17,賃貸,リブマックスホテルズ＆リゾーツ,東京都/品川区/南大井/三丁目/３３番,139.734119999999990,35.587589999999999,5,7,28m,365,1,1h47m,"1,523",1,2018,1180000,中高層事務所ビル、ホテル等が建ち並ぶ商業地域,大森海岸,130,商業
2246,4,ホテルマイステイズプレミア大森,東京都品川区南大井６丁目１９-３,2016年10月,2016,東京都,13_東京都,232,賃貸,ホテルマイステイズマネジメント,東京都/品川区/南大井/六丁目/１９番,139.732570000000010,35.590470000000003,5,7,34m,365,1,1h48m,"1,483",2,2018,845000,中層の店舗併用住宅が建ち並ぶ近隣商業地域,大森,600,近商
2292,50,フレックステイイン中延P1,東京都品川区二葉４丁目２７-８,1989年11月,1989,東京都,13_東京都,39,賃貸,ホテルマイステイズマネジメント,東京都/品川区/二葉/四丁目/２７番,139.713529999999992,35.602130000000002,5,7,47m,604,1,1h46m,"1,421",1,2018,842000,店舗、共同住宅、事務所が建ち並ぶ商業地域,中延,150,商業
2293,51,フレックステイイン中延P2,東京都品川区二葉４丁目２７-８,1989年11月,1989,東京都,13_東京都,22,賃貸,ホテルマイステイズマネジメント,東京都/品川区/二葉/四丁目/２７番,139.713529999999992,35.602130000000002,5,7,47m,604,1,1h46m,"1,421",1,2018,842000,店舗、共同住宅、事務所が建ち並ぶ商業地域,中延,150,商業
277,8,ヴィアイン東京大井町,東京都品川区大井４丁目３-１,2009年7月,2009,東京都,13_東京都,509,賃貸,ヴィアインホテルチェーン,東京都/品川区/大井/四丁目/３番,139.734219999999993,35.604379999999999,5,7,43m,540,1,1h43m,"1,483",2,2018,917000,高層店舗併用マンションが進出している商業地域,大井町,450,近商
2770,101,ホテルルートイン品川大井町,東京都品川区大井１丁目３５-２,2005年11月,2005,東京都,13_東京都,156,所有直営,ルートインホテルズ,東京都/品川区/大井/一丁目/３５番,139.731770000000012,35.604810000000001,5,7,44m,540,1,1h44m,"1,483",2,2018,917000,高層店舗併用マンションが進出している商業地域,大井町,450,近商
1639,236,東横INN品川旗の台駅南口,東京都品川区旗の台５-６-５,2014年8月,2014,東京都,13_東京都,87,NA,東横INN,東京都/品川区/旗の台/五丁目/６番,139.702679999999987,35.604570000000002,5,7,52m,694,2,1h52m,"1,545",2,2018,560000,一般住宅、アパート等が建ち並ぶ住宅地域,旗の台,350,1中専
